iter	RMSE
0	7498.767772
1	7069.411435
2	6676.004942
3	6315.160583
4	6004.155968
5	5720.927799
6	5480.625612
7	5266.403309
8	5061.081842
9	4888.063172
10	4739.522384
11	4604.142202
12	4481.057851
13	4376.129658
14	4284.248674
15	4202.128384
16	4132.562604
17	4064.857663
18	4004.317111
19	3925.962643
20	3878.65768
21	3825.889622
22	3785.312848
23	3747.363785
24	3718.982503
25	3690.578335
26	3641.482325
27	3612.697653
28	3573.061673
29	3548.105636
30	3525.699304
31	3505.016948
32	3480.408041
33	3458.650954
34	3439.463613
35	3427.61438
36	3413.384283
37	3382.585041
38	3348.436088
39	3325.081667
40	3314.197901
41	3302.859659
42	3284.837926
43	3274.17515
44	3260.863488
45	3252.603763
46	3240.34414
47	3229.803482
48	3222.763137
49	3204.047842
50	3178.6935
51	3165.630915
52	3157.714961
53	3138.226137
54	3131.848469
55	3124.147798
56	3119.034195
57	3111.16978
58	3105.124657
59	3099.026867
60	3083.455435
61	3077.876867
62	3069.829254
63	3058.369251
64	3054.234436
65	3046.894509
66	3041.444805
67	3037.343189
68	3034.332508
69	3028.320272
70	3018.136648
71	3016.191212
72	3012.051593
73	3006.930634
74	2999.230296
75	2992.944433
76	2989.603209
77	2984.986428
78	2981.003323
79	2970.798616
80	2967.88594
81	2965.368797
82	2963.826191
83	2960.654375
84	2953.933264
85	2947.993572
86	2944.579239
87	2939.423883
88	2937.572068
89	2935.1068
90	2926.423585
91	2921.312449
92	2911.750701
93	2907.886103
94	2903.641767
95	2902.347119
96	2898.676504
97	2898.001907
98	2896.374237
99	2892.383278
100	2890.602108
101	2888.548023
102	2881.817318
103	2879.649337
104	2875.258904
105	2873.380195
106	2870.981226
107	2867.8347
108	2864.4655
109	2861.982387
110	2857.15332
111	2857.129868
112	2855.295317
113	2853.91566
114	2850.946353
115	2848.743311
116	2847.637911
117	2835.927264
118	2834.419631
119	2834.057503
120	2833.983223
121	2830.815956
122	2821.940565
123	2818.212908
124	2812.872852
125	2810.494422
126	2809.862046
127	2806.67867
128	2802.615842
129	2802.218462
130	2798.817036
131	2798.432363
132	2798.220262
133	2794.71791
134	2791.601955
135	2787.142974
