iter	Passed	Remaining
0	3	1674
1	6	1564
2	9	1505
3	11	1477
4	14	1477
5	17	1450
6	20	1435
7	22	1410
8	26	1421
9	28	1399
10	31	1406
11	34	1421
12	37	1423
13	40	1419
14	43	1421
15	47	1429
16	50	1429
17	53	1421
18	56	1427
19	59	1418
20	61	1413
21	64	1407
22	68	1411
23	70	1407
24	73	1402
25	76	1389
26	79	1392
27	82	1386
28	84	1376
29	87	1367
30	90	1369
31	93	1361
32	96	1359
33	98	1355
34	102	1361
35	105	1357
36	108	1352
37	111	1352
38	113	1345
39	116	1337
40	119	1332
41	122	1332
42	125	1330
43	128	1329
44	131	1328
45	134	1329
46	137	1325
47	140	1322
48	143	1323
49	146	1317
50	148	1310
51	151	1303
52	154	1300
53	156	1295
54	159	1291
55	162	1285
56	165	1284
57	167	1280
58	170	1274
59	173	1269
60	175	1266
61	178	1260
62	180	1255
63	183	1249
64	186	1246
65	189	1246
66	192	1243
67	194	1238
68	197	1235
69	200	1234
70	204	1234
71	207	1231
72	210	1232
73	213	1230
74	217	1230
75	220	1228
76	222	1223
77	225	1218
78	228	1215
79	231	1214
80	233	1209
81	236	1205
82	239	1201
83	241	1197
84	244	1193
85	247	1189
86	249	1184
87	252	1180
88	254	1175
89	257	1171
90	259	1167
91	262	1165
92	265	1160
93	267	1155
94	269	1150
95	272	1147
96	275	1144
97	278	1140
98	280	1137
99	283	1134
100	286	1130
101	288	1126
102	291	1123
103	294	1120
104	296	1117
105	299	1113
106	302	1109
107	304	1105
108	307	1102
109	310	1099
110	313	1099
111	316	1098
112	320	1096
113	323	1094
114	325	1090
115	328	1087
116	331	1083
117	333	1080
118	336	1076
119	338	1073
120	341	1071
121	345	1069
122	348	1068
123	352	1067
124	354	1063
125	356	1059
126	359	1056
127	362	1053
128	365	1050
129	367	1046
130	370	1043
131	373	1040
132	375	1036
133	378	1032
134	380	1029
135	383	1026
136	386	1023
137	388	1019
138	391	1015
139	393	1012
140	396	1008
141	398	1004
142	400	1000
143	404	999
144	406	995
145	409	992
146	412	989
147	415	987
148	417	983
149	419	979
150	422	976
151	425	974
152	428	972
153	432	970
154	435	969
155	438	966
156	440	963
157	443	960
158	446	957
159	449	955
160	451	951
161	454	948
162	457	945
163	459	942
164	462	938
165	464	935
166	467	933
167	470	930
168	474	928
169	477	926
170	480	924
171	483	921
172	486	918
173	489	916
174	492	914
175	494	911
176	497	907
177	500	904
178	502	901
179	505	898
180	507	894
181	510	891
182	513	889
183	516	886
184	519	884
185	522	882
186	525	879
187	528	876
188	530	873
189	533	871
190	536	867
191	539	865
192	542	863
193	545	861
194	549	859
195	553	857
196	555	855
197	558	851
198	560	848
199	563	845
200	566	842
201	568	838
202	571	835
203	573	832
204	576	829
205	578	826
206	581	823
207	584	820
208	587	818
209	590	816
210	594	813
211	597	812
212	600	809
213	604	807
214	607	804
215	609	801
216	612	798
217	615	795
218	618	793
219	621	790
220	624	788
221	627	785
222	630	782
223	632	779
224	635	776
225	637	773
226	640	770
227	643	767
228	645	764
229	648	761
230	651	758
231	653	755
